GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
0500000US26037,26037,"Clinton County, Michigan",0.427,0.031
0500000US26045,26045,"Eaton County, Michigan",0.368,0.018
0500000US26049,26049,"Genesee County, Michigan",0.437,0.014
0500000US26055,26055,"Grand Traverse County, Michigan",0.443,0.036
0500000US26065,26065,"Ingham County, Michigan",0.458,0.014
0500000US26073,26073,"Isabella County, Michigan",0.480,0.027
0500000US26075,26075,"Jackson County, Michigan",0.394,0.017
0500000US26077,26077,"Kalamazoo County, Michigan",0.454,0.023
0500000US26081,26081,"Kent County, Michigan",0.452,0.015
0500000US26087,26087,"Lapeer County, Michigan",0.406,0.026
0500000US26091,26091,"Lenawee County, Michigan",0.385,0.018
0500000US26093,26093,"Livingston County, Michigan",0.397,0.014
0500000US26099,26099,"Macomb County, Michigan",0.403,0.010
0500000US26103,26103,"Marquette County, Michigan",0.452,0.047
0500000US26111,26111,"Midland County, Michigan",0.463,0.023
0500000US26115,26115,"Monroe County, Michigan",0.394,0.018
0500000US26121,26121,"Muskegon County, Michigan",0.415,0.015
0500000US26125,26125,"Oakland County, Michigan",0.460,0.009
0500000US26139,26139,"Ottawa County, Michigan",0.427,0.033
0500000US26145,26145,"Saginaw County, Michigan",0.455,0.012
0500000US26147,26147,"St. Clair County, Michigan",0.396,0.021
0500000US26155,26155,"Shiawassee County, Michigan",0.412,0.021
0500000US26159,26159,"Van Buren County, Michigan",0.442,0.047
0500000US26161,26161,"Washtenaw County, Michigan",0.470,0.014
0500000US26163,26163,"Wayne County, Michigan",0.467,0.006
0500000US27003,27003,"Anoka County, Minnesota",0.349,0.014
0500000US27019,27019,"Carver County, Minnesota",0.473,0.068
0500000US27037,27037,"Dakota County, Minnesota",0.397,0.012
0500000US27053,27053,"Hennepin County, Minnesota",0.479,0.011
0500000US27109,27109,"Olmsted County, Minnesota",0.427,0.019
0500000US27123,27123,"Ramsey County, Minnesota",0.468,0.015
0500000US27137,27137,"St. Louis County, Minnesota",0.449,0.018
0500000US27139,27139,"Scott County, Minnesota",0.377,0.021
0500000US27141,27141,"Sherburne County, Minnesota",0.363,0.047
0500000US27145,27145,"Stearns County, Minnesota",0.406,0.022
0500000US27163,27163,"Washington County, Minnesota",0.441,0.025
0500000US27171,27171,"Wright County, Minnesota",0.372,0.023
0500000US28033,28033,"DeSoto County, Mississippi",0.358,0.018
0500000US28035,28035,"Forrest County, Mississippi",0.510,0.042
0500000US28047,28047,"Harrison County, Mississippi",0.446,0.025
0500000US28049,28049,"Hinds County, Mississippi",0.497,0.022
0500000US28059,28059,"Jackson County, Mississippi",0.416,0.027
0500000US28067,28067,"Jones County, Mississippi",0.456,0.038
0500000US28075,28075,"Lauderdale County, Mississippi",0.476,0.041
0500000US28081,28081,"Lee County, Mississippi",0.469,0.035
0500000US28089,28089,"Madison County, Mississippi",0.466,0.025
0500000US28121,28121,"Rankin County, Mississippi",0.433,0.027
0500000US29019,29019,"Boone County, Missouri",0.455,0.027
0500000US29021,29021,"Buchanan County, Missouri",0.434,0.036
0500000US29031,29031,"Cape Girardeau County, Missouri",0.433,0.031
0500000US29037,29037,"Cass County, Missouri",0.346,0.019
0500000US29043,29043,"Christian County, Missouri",0.369,0.024
0500000US29047,29047,"Clay County, Missouri",0.379,0.017
0500000US29051,29051,"Cole County, Missouri",0.399,0.028
0500000US29071,29071,"Franklin County, Missouri",0.391,0.024
0500000US29077,29077,"Greene County, Missouri",0.452,0.018
0500000US29095,29095,"Jackson County, Missouri",0.448,0.011
0500000US29097,29097,"Jasper County, Missouri",0.430,0.025
0500000US29099,29099,"Jefferson County, Missouri",0.358,0.019
0500000US29165,29165,"Platte County, Missouri",0.404,0.034
0500000US29183,29183,"St. Charles County, Missouri",0.357,0.014
0500000US29189,29189,"St. Louis County, Missouri",0.480,0.011
0500000US29510,29510,"St. Louis city, Missouri",0.480,0.015
0500000US30013,30013,"Cascade County, Montana",0.405,0.021
0500000US30029,30029,"Flathead County, Montana",0.456,0.030
0500000US30031,30031,"Gallatin County, Montana",0.415,0.027
0500000US30063,30063,"Missoula County, Montana",0.497,0.033
0500000US30111,30111,"Yellowstone County, Montana",0.459,0.026
0500000US31055,31055,"Douglas County, Nebraska",0.470,0.012
0500000US31109,31109,"Lancaster County, Nebraska",0.416,0.014
0500000US31153,31153,"Sarpy County, Nebraska",0.354,0.014
0500000US32003,32003,"Clark County, Nevada",0.427,0.008
0500000US32031,32031,"Washoe County, Nevada",0.455,0.024
0500000US33005,33005,"Cheshire County, New Hampshire",0.411,0.023
0500000US33009,33009,"Grafton County, New Hampshire",0.446,0.028
0500000US33011,33011,"Hillsborough County, New Hampshire",0.405,0.011
0500000US33013,33013,"Merrimack County, New Hampshire",0.407,0.022
0500000US33015,33015,"Rockingham County, New Hampshire",0.402,0.016
0500000US33017,33017,"Strafford County, New Hampshire",0.439,0.029
0500000US34001,34001,"Atlantic County, New Jersey",0.435,0.018
0500000US34003,34003,"Bergen County, New Jersey",0.457,0.011
0500000US34005,34005,"Burlington County, New Jersey",0.405,0.013
0500000US34007,34007,"Camden County, New Jersey",0.441,0.012
0500000US34009,34009,"Cape May County, New Jersey",0.442,0.036
0500000US34011,34011,"Cumberland County, New Jersey",0.411,0.018
0500000US34013,34013,"Essex County, New Jersey",0.530,0.012
0500000US34015,34015,"Gloucester County, New Jersey",0.389,0.012
0500000US34017,34017,"Hudson County, New Jersey",0.488,0.014
0500000US34019,34019,"Hunterdon County, New Jersey",0.432,0.022
0500000US34021,34021,"Mercer County, New Jersey",0.475,0.016
0500000US34023,34023,"Middlesex County, New Jersey",0.414,0.010
0500000US34025,34025,"Monmouth County, New Jersey",0.454,0.011
0500000US34027,34027,"Morris County, New Jersey",0.438,0.013
0500000US34029,34029,"Ocean County, New Jersey",0.425,0.013
0500000US34031,34031,"Passaic County, New Jersey",0.470,0.017
0500000US34033,34033,"Salem County, New Jersey",0.428,0.026
0500000US34035,34035,"Somerset County, New Jersey",0.454,0.019
0500000US34037,34037,"Sussex County, New Jersey",0.387,0.016
0500000US34039,34039,"Union County, New Jersey",0.478,0.014
0500000US34041,34041,"Warren County, New Jersey",0.406,0.037
0500000US35001,35001,"Bernalillo County, New Mexico",0.462,0.013
0500000US35013,35013,"Dona Ana County, New Mexico",0.459,0.023
0500000US35031,35031,"McKinley County, New Mexico",0.434,0.031
0500000US35043,35043,"Sandoval County, New Mexico",0.420,0.024
0500000US35045,35045,"San Juan County, New Mexico",0.410,0.023
0500000US35049,35049,"Santa Fe County, New Mexico",0.480,0.024
0500000US35061,35061,"Valencia County, New Mexico",0.458,0.055
0500000US36001,36001,"Albany County, New York",0.438,0.016
0500000US36005,36005,"Bronx County, New York",0.481,0.009
0500000US36007,36007,"Broome County, New York",0.463,0.030
0500000US36009,36009,"Cattaraugus County, New York",0.390,0.023
0500000US36011,36011,"Cayuga County, New York",0.398,0.024
0500000US36013,36013,"Chautauqua County, New York",0.423,0.017
0500000US36015,36015,"Chemung County, New York",0.429,0.026
0500000US36019,36019,"Clinton County, New York",0.419,0.024
0500000US36027,36027,"Dutchess County, New York",0.422,0.019
0500000US36029,36029,"Erie County, New York",0.453,0.010
0500000US36045,36045,"Jefferson County, New York",0.414,0.034
0500000US36047,36047,"Kings County, New York",0.502,0.007
0500000US36053,36053,"Madison County, New York",0.384,0.021
0500000US36055,36055,"Monroe County, New York",0.448,0.010
0500000US36059,36059,"Nassau County, New York",0.447,0.009
0500000US36061,36061,"New York County, New York",0.605,0.008
0500000US36063,36063,"Niagara County, New York",0.416,0.014
0500000US36065,36065,"Oneida County, New York",0.419,0.015
0500000US36067,36067,"Onondaga County, New York",0.460,0.015
0500000US36069,36069,"Ontario County, New York",0.420,0.020
0500000US36071,36071,"Orange County, New York",0.404,0.012
0500000US36075,36075,"Oswego County, New York",0.429,0.025
0500000US36079,36079,"Putnam County, New York",0.390,0.028
0500000US36081,36081,"Queens County, New York",0.434,0.006
0500000US36083,36083,"Rensselaer County, New York",0.411,0.018
